source_lo_id,dest_lo_id,source_lo_title,dest_lo_title
c769e044-3d4b-4c0a-8a99-6e34e0c65afa,583ab7a1-90c7-49c6-be38-ba0d05b63115,Multiply and divide numbers in scientific notation,Multiply and divide numbers in scientific notation using a calculator
db11db62-6289-42cb-9f27-5b61617107f2,c72c1fb8-caf2-4eee-9a74-c3da2063b6e5,Use the first derivative test to find local extrema given a function,Sketch the graph of a function with a cusp
425e1568-3068-440b-89c3-0e07afc19656,778c0c64-f580-427c-b501-07b9ecfa3ce8,Multiply two decimalsCoReq,Divide decimals by a whole numberCoReq
e57deb4b-02f6-48c9-92f3-58febf04339f,d4b0cc72-c4de-45c3-8e1d-daf62e6224d6,Decide the winner of an election using the plurality with elimination method,Select the winner of an election using the pairwise comparison method
7046c299-3e99-4c68-b05a-8d8ff4d036d5,af74264e-6cde-4bf4-9bdd-95cde5f55486,Identify constants and variables,Evaluate algebraic expressions with a single variable
1770dd44-1848-454f-a307-e3030ae18540,bf2a883d-0448-4ecb-83e7-0290d75d0305,"Explain the terms integrand, limits of integration, and variable of integration, and describe when a function is integrable",Evaluate an integral using the definition of the definite integral and left- or right-endpoint approximations
04322707-6248-4c8b-ab7f-6b2d413c8b70,fede47e6-3147-4383-8038-13baf9c91d1c,Divide integers - ML,Divide decimals - ML
c56a6ab5-a9a1-4f26-bdba-7630144797c4,8a833cd2-1632-4b15-9d60-c7054df0b3cd,Find the area of a region bounded by two functions that cross,Find the area of a region bounded above by two different functions
305f5ba8-7231-47f8-977e-2695491536fd,9efbfa91-8e33-4d38-8411-1cd80091cd79,Determine the transpose of a matrix,Determine the dual of a linear programming problem
ea085d56-da82-4beb-bd99-6b9d41424bde,2da7957a-b683-4ed2-94dc-82ee25de5d19,Solve an equation using the division and multiplication properties of equality - ML,Solve an equation involving fractions or decimals using the division and multiplication properties of equality - ML
dffcc28f-0b24-4b08-a9f0-2d50e35ba376,f55df1db-6840-4900-8281-4c9605ae9dcd,Use the properties of the definite integral,Use the Fundamental Theorem of Calculus with two variable limits of integration
9eb13181-474e-4b8f-9bdf-1fe64257454a,79e5adb6-3b0f-490a-96b0-d4849eed874d,Find a specific solution to a differential equation composed of two polynomials using separation of variables,Identify first-order linear differential equations
396fa82a-036e-4f52-8376-14aa277eac71,af79406f-5825-48de-bc41-888b67990d1c,Illustrate two sets using Venn diagram and set notation,Determine the intersection of two sets using Venn diagrams and set notation
c38664a5-62b3-4bfe-aa3c-c7aefd238e2d,5586fee3-e27d-4392-8bbe-cc2648be18fe,Add and subtract integers using order of operations - ML,Solve an equation using the subtraction and addition properties of equality - ML
d76fd2e5-ae62-4faf-9982-67fd16511b13,e3101fa6-09b8-43d0-827c-f763d195cdb4,Find the partial derivative of a function of two variables,Use Lagrange multipliers to find maximum and minimum values of a function of two variables with a single constraint
972ee562-ea22-40f0-9063-042b5717553e,c814aa29-5b40-4f28-8507-680a3ef12c3f,Compute the probability of equally likely outcomes,Compute the probability of equally likely outcomes in application
0747c484-04e3-4a98-8df8-c404b470dcf8,d0b5ea7c-b7da-4afc-8f67-9b625120ec8a,Multiply binomials together,Rationalize denominators using the conjugate
2c57ec47-9e18-47fa-90f2-2568e53e1b43,44156f65-bb9a-4fba-a5a0-05d8a1889e36,"Solve equations in one variable algebraically, variable just on one side",Use a formula to solve a real-world application
1aa7eeb9-e1a0-4a43-9c4a-362626d13005,640e0a4b-179f-46cf-9dc3-516f57f4313d,Divide fractions - ML,Simplify expressions written with a fraction bar - ML
11b9dfeb-bff4-48b5-b799-5be8d2fb3783,705b5f0b-6c84-4857-a823-70d6eac3a35a,Use the chain rule with the power rule,Use the chain rule with the product and quotient rules
2bd94ac3-3758-4086-981c-ac887152e25b,2416fedd-f30e-4f19-8d6e-9209cabb75b7,Solve systems of equations in two variables by addition,Solve systems of three equations in three variables
6065ef59-ed48-4e98-bb11-814bc9be70c3,deb1ef63-3a1b-496e-a8a2-b411e1e15406,Verify a solution to a differential equation initial value problem,Solve a differential equation initial value problem
b536c8f0-fc48-433b-add3-0c63a27f014c,72b00269-5734-4609-9673-5582b9482667,Understand integral notation and verify an indefinite integral,Understand the properties of indefinite integrals
132865b0-7775-46d3-9887-9e232c56be6c,0ea883b6-9be0-4f6e-a01a-2bb6fda4c84b,Understand the relationship between scatter plots and table and determine patterns,Find outliers in a data set
3bba7aef-2999-4977-91e1-4e543a4a0097,ebbe7473-8295-4b26-bc99-54c0de9d184a,Convert from logarithmic to exponential form,Use the product rule for logarithms
c1d48340-b708-42bd-9add-d2c63330699e,0747c484-04e3-4a98-8df8-c404b470dcf8,Add and subtract polynomials,Multiply binomials together
2a713dc5-3008-4d80-a9be-a8d48d9374fb,6a85cd8f-b370-4728-9c3d-2eeddf24e480,Add and subtract fractions with unlike denominators,Add and subtract fractions in applications
2416fedd-f30e-4f19-8d6e-9209cabb75b7,eb2a2dfd-f2c6-49df-bffb-c34dfaf465e0,Solve systems of three equations in three variables,Use row operations to solve a system of linear equations in three variables
63459d4d-fea0-4747-8a7d-a29917a0b50f,ecdf24c1-a5f9-4ca2-8e9b-51d441708b6e,Multiply a polynomial by a monomialCoReq,Multiply a binomial by a binomialCoReq
acf15159-34b8-4343-95f9-389d5ffdbadf,7c1e1a22-69df-4579-9451-a5e5130a41b4,Find the circumference and area of circles,Find the area of complex shapes including circles
96ce8c8c-c3ed-43ad-977d-7ef05b647885,97e737af-fe55-4e5a-9d3d-5090253da7f5,Identify transition diagrams and transition matrices,Find absorbing states given a transition matrix
30d377ed-8e7b-4481-a95f-818ebf1e6c79,f8c2f70b-bb0c-4dd2-b471-d508cf33ca1a,Write a ratio as a fraction - ML,Write a rate as a fraction - ML
b50abb3b-08ba-41fd-89aa-ed21c2da4926,e06ffc66-2065-40c9-8d7d-f58401ba38fb,Understand the basic properties of logarithms,Express an exponential model in base e
c1634a81-7078-44ac-b1e9-d781ec571c6e,261e0172-6366-4ebf-a74f-a5a5518e0208,Write a formula for a polynomial function from a graph,Determine equation of a polynomial given key information
76e8be8e-ff95-47e5-b0b1-30c61da0c9d9,d55eece8-d7b0-47f9-b50a-ca1e9ad92198,Represent a set using a written description and the roster method,Represent a set using set builder notation
a3c0e9a4-1773-4d1f-b186-a0f4b394ab8a,a01bf0bf-8934-44aa-9065-90c400c56552,Find the producers' surplus at a certain price level,Find the equilibrium price and the consumers' and producers' surplus at that price
ef634b02-ddaf-40e6-95d6-60a3f3c5323a,bfb553bf-5150-479b-b229-8d15c0f295b4,Use the quotient rule to find the derivative of a function in the form f(x)/g(x),Combine the product and quotient rules with polynomials
caa823fd-17f5-496e-80a0-acab5db5bc10,7aa83613-5b03-40d2-ad76-f079337fddfd,Graph functions using reflections about the x-axis and the y-axis,Reflect a polygon across an axis
f8829e85-32e6-4e8e-bcdd-3426bcce88ee,48a8cc0c-71c2-4d79-abbd-eaf5cddb82c4,Identify a Hamilton path and a Hamilton circuit for a given graph,Identify the optimal Hamilton circuit using the nearest neighbor method
66ba71f5-42be-4bd8-bfa7-58de5eb564f0,f45db307-2e9b-453a-a486-6477a181f81f,Understand exponent notation,Convert from a system with a base greater than 10 to base 10
eeeea84e-28e5-4969-984d-3e3b3529605d,a42699a5-677d-40cc-aa01-8003fc522e48,"Construct a line, line segment, and ray given two points","Find the intersection or union of two line segments, a ray and a line segment, or two rays"
ba435205-9490-47d2-9b20-b1a0412b0cfc,38e15c6b-4a78-4e36-9a38-6e8d0e97709f,Solve direct variation problems,Solve inverse variation problems
3bba7aef-2999-4977-91e1-4e543a4a0097,eea2d266-b1e5-4f92-803e-57baa247dff5,Convert from logarithmic to exponential form,Convert from exponential to logarithmic form
3ced876b-cc96-483b-99a8-3f7569bc3275,630bc888-1f79-40df-ad21-78b732417f97,Use the second derivative test to find local extrema given a function,Sketch the graph of a rational function
005206cf-348e-4e46-a8dc-f793561ab9d3,796da247-1032-40a2-b78a-17d8e2710b37,Evaluate limits graphically,Understand the definition of continuity
bbbad61e-ded9-4006-8572-89d609567493,147acf2e-b0cc-48bf-a209-bea80397604c,Find the absolute extrema of a function of two variables on a closed region,Solve maximization and minimization word problems with multiple variables
46967ecc-3061-4308-8ffe-431c4b2084dc,bbbad61e-ded9-4006-8572-89d609567493,Find critical points of a function of two variables,Find the absolute extrema of a function of two variables on a closed region
858ea150-7bb3-480a-88f9-1a1f2c788ce1,792e682f-7943-4a87-bf12-c47745295c0f,Identify domain and range from a set of ordered pairs,Find the domain of a function defined by an equation
ef1b8fd0-574f-45ac-8233-d61ec8aa0935,8beaa07a-cdd0-4979-8582-98d024d943c5,Understand sine and cosine values on the unit circle,Use reference angles to find coordinates on the unit circle
3268844a-2c8a-4c02-9a6a-bb216713918c,9d538628-ff34-4f0a-9144-b6a8cd1880b7,Find the determinant of a 3x3 matrix,Determine if a matrix is invertible using the determinant
ca66d71a-76e2-4b80-ae1a-b7110d5f6d2b,c80c00d7-dc46-4833-9f6f-1f9d5bcff736,Use arrow notation to describe local behavior and end behavior of rational functions,Evaluate limits of polynomial functions at infinity
40efb689-c8ce-4cba-9cbf-c6e49fe519a5,ced699a7-bb52-4a4e-a759-645a4e2888f7,Convert between symbolic statements and switching circuits,Determine conditions for when a lightbulb will be turned on in a switching circuit
30d377ed-8e7b-4481-a95f-818ebf1e6c79,f6e2c34e-992c-46ee-ae8b-7998bef98e8e,Write a ratio as a fraction - ML,Translate phrases to expressions as rates or ratios - ML
25252df5-73ae-4fb6-a48e-81537b3e5467,fb76be23-9570-4dfd-aeb9-68d47d9cec6c,Find the present value of a continuous stream,Find the future value of a continuous stream
44616274-dd97-435d-a015-cdd0810926ca,f3d001b3-d6ae-40a8-ac9b-ca6fe30978b2,Find the derivative of a function at a point using limits,Use the limit definition to find the derivative of a polynomial function
1c2efc66-0cc3-4d59-9244-b7bb5c62ff8c,7f5597f6-d2ea-4dc1-a66d-6730e7959df0,Evaluate an expression with factorials,Find the number of permutations of n distinct objects using a formula
ea20a282-171d-478b-8284-580ee62eac48,0c26f004-a829-4365-a970-8d685831164c,Evaluate square roots,Use the product rule to simplify square roots
1d56b258-086c-4d94-b748-368731abd7b3,d40af1ba-86d7-4f0c-8813-ea0bec13919e,"Compute and relate profit, revenue, and cost functions",Use quadratic functions in break-even and profit-loss analysis
1ffe8fb1-ba0d-411b-88af-2c16640aa05a,1108962e-d304-40d7-96e4-f05d8c3f173b,Determine a voting systems fairness using the majority criterion,Choose the best voting system for a given election
2c57ec47-9e18-47fa-90f2-2568e53e1b43,8a5436a6-0d0c-4445-9517-381ac0302602,"Solve equations in one variable algebraically, variable just on one side",Use properties of inequalities
2da7957a-b683-4ed2-94dc-82ee25de5d19,c6c67bb5-0fba-48a0-87a7-d745cf2b4af5,Solve an equation involving fractions or decimals using the division and multiplication properties of equality - ML,Solve an inequality using the division and multiplication properties of inequality - ML
96ce8c8c-c3ed-43ad-977d-7ef05b647885,53c62326-4ffb-4f90-9da9-f41d76a0b059,Identify transition diagrams and transition matrices,Find the second state of a system given a transition matrix and initial state
1725e19a-846a-4f90-a04b-eab9cda90d19,a0c2bdca-e5d5-4bb3-862c-d2db2711cedd,Use properties of logarithms to find the derivative of a natural logarithmic function,Use logarithmic differentiation
ce31167b-270f-4cb8-9662-9650122f6a71,ba07167e-0dbf-4f6a-aac1-996a7421bcbc,Determine whether an ordered triple is a solution to a system,Convert between a system of equations and its corresponding augmented matrix
597836ca-2642-407a-973a-283ec7faa418,c6fad6bd-203c-4d4f-9022-3237bf973e97,Apply the sum and difference rules to combine derivatives,Use the product rule to find the derivative of a function in the form f(x)g(x)
597836ca-2642-407a-973a-283ec7faa418,e7ffa55b-c8ce-4b02-8e5f-03ea90438eba,Apply the sum and difference rules to combine derivatives,Find the equation of the line tangent to a polynomial at a point
08cf6d22-cf8c-40fb-828a-4e405db1d16f,70f77fc3-fdd6-48c1-b77b-97c7cbfad1b2,Solve equations using the Division Property of EqualityCoReq,Translate to an equation with integers and solveCoReq
1523b742-7703-41fd-b7e3-671ef0664f2e,630bc888-1f79-40df-ad21-78b732417f97,Sketch the graph of a polynomial,Sketch the graph of a rational function
b1c208b3-fe70-491d-8a79-42482a9d445a,5559de3a-8aa5-4fca-ad06-e939accb49c9,Plot ordered pairs in a Cartesian coordinate system,Find the slope of a line given two points
6c2c85bb-8ec7-4f1a-adbe-50d8f1a4a0f6,0dc459a0-03f9-47ad-aab5-5db24dd605d0,Identify power functions and polynomial functions,Identify if a graph is a polynomial function
af79406f-5825-48de-bc41-888b67990d1c,8acd0a5e-fad7-47d4-aeed-526a3a3ae76a,Determine the intersection of two sets using Venn diagrams and set notation,Perform operations on sets
7c2a943d-1a21-402e-8b3a-b47bce97e44a,aa3ddedc-eba0-4bba-9b23-904773e14c5b,Determine if two symbolic statements are equivalent using a truth table,Determine if two statements are equivalent using De Morgan's laws
82a3656e-cdc1-4172-b155-7b1733c126e2,c049667c-c70d-49a8-8813-58e6549dca44,Graph equations by plotting points,Graph linear functions
459d6aef-cb84-4f79-9335-0ca3321761fc,396fa82a-036e-4f52-8376-14aa277eac71,"Illustrate the universal set, a set, and complement of a set using a Venn diagram",Illustrate two sets using Venn diagram and set notation
a956ee65-dd9d-4bb9-bd94-fece1fb28005,d8db80e2-972f-4e7f-b461-5fece0a2a2e3,"Use right triangles to evaluate sine, cosine, and tangent functions","Find the secant, cosecant, tangent, and cotangent values for angles in the first quadrant of the unit circle"
50aadad5-7db2-4ed5-846a-8ae56c6a117d,4ccdaa74-fe5e-4680-91b8-82f3d6d6174e,Calculate probability distribution,Calculate the expected value of a random variable
5e537a4d-352c-4ed6-80fc-2638d6eee6c0,c4402a23-0e3b-4db2-93a8-ac63ced17f59,Evaluate two-sided limits analytically for rational functions with removable discontinuities by factoring,Evaluate two-sided limits analytically for rational functions with removable discontinuities through expansion
4c5af310-5723-457a-b5f0-11b7db1ab1c8,89893997-069f-4bff-af90-bcbb3c789138,Understand supplementary and complementary angles,"Understand alternate interior angles, alternate exterior angles, and corresponding angles"
ed71e236-1b6f-4a48-8bc4-b351f2a2e36a,1065b861-c32f-49e9-8f6d-9978e3fc8f9f,Write the terms of a sequence defined by an explicit formula,Evaluate expressions using summation notation
f50f0ab0-2c65-4892-ba28-f2e3496a2f95,46c90397-fd14-45f3-a9b5-2d81a14829ff,Solve linear inequalities in two variables,Solve a linear inequality in two variables by graphing
9eb13181-474e-4b8f-9bdf-1fe64257454a,72ad2f84-d81f-46da-beea-e0e77175835a,Find a specific solution to a differential equation composed of two polynomials using separation of variables,Solve solution concentration problems using separation of variables
11b9dfeb-bff4-48b5-b799-5be8d2fb3783,b72733eb-b7b2-42c5-b8c1-714fb791d39f,Use the chain rule with the power rule,Use implicit differentiation
06bacaee-f8f3-4938-8390-60845a275e00,41204232-d621-4abf-a7dd-c4491174d5a4,Solve minimization problems using the theorem of duality,Solve a nonstandard linear programming problem
af210a27-1fb4-4f6d-b7f7-0e45b2c2d6fa,f41b0475-feb0-4c64-aeda-de1f3c5fba4c,Simplify a fraction - ML,Divide monomials - ML
297d55bb-0ba9-4132-a40e-555c906c3827,026ef392-3dc6-4abd-a286-a0d7f6c32772,Find x -intercepts and y -intercepts,Determine x- and y-intercepts of parabolas from a graph
cb8249e6-03f4-46cd-a8a2-6e5fc8038b57,51fca8c2-3840-4a7f-bdac-4cae33889fae,Calculate a percent increase or a percent decrease,Determine the final cost of an item including sales tax and discounts
e8728bde-de42-4fc6-91d2-50c49de1db3d,459d6aef-cb84-4f79-9335-0ca3321761fc,"Identify subsets, universal sets, and empty sets","Illustrate the universal set, a set, and complement of a set using a Venn diagram"
705b5f0b-6c84-4857-a823-70d6eac3a35a,4fbd8b7d-7e65-4864-99f0-fcc358914bc7,Use the chain rule with the product and quotient rules,Use implicit differentiation and the product rule
5ed06f4d-5f95-418d-8740-46a2abd81594,a8fe3463-b98e-42ac-93e6-9c1ae140f5e1,Use product and quotient rules to find the derivative of exponential functions with base e,Verify a solution of a differential equation
3088b37f-4286-41bf-b799-d2bbaf407f39,5416e710-b91a-4312-8c64-bcd80c36f6c9,Evaluate exponential functions,Find the equation of an exponential function given the initial value and a point
da7fe62c-8d87-4c38-a953-425d13a0245b,6431906d-c1ca-4fbd-8b87-849152c7003f,Factor a trinomial,"Solve quadratic equations by factoring, leading coefficient 1"
dffcc28f-0b24-4b08-a9f0-2d50e35ba376,7355c3f9-9eea-4cdb-b923-4485a36ea07f,Use the properties of the definite integral,Use the Fundamental Theorem of Calculus to find the derivative of an integral function
925acdbf-8e77-41bc-8e71-8e6d14c3e69d,2d3b4e21-9eb9-4d07-852d-88a5e37c75b1,Convert between units with different prefixes,Convert between non-metric units using dimensional analysis
f0555066-0922-4474-9ac9-14a7c4f2da10,5d2dfeea-7540-4033-966e-00c064199eec,Use the power rule of exponents,Find the power of a product
9b7259b0-a2a3-4855-8506-13963992a98e,17c4a316-55cd-4878-959f-e85b235e0b99,Evaluate definite integrals with the Fundamental Theorem of Calculus for functions with positive integer exponents,Find the average value of a function over an interval
fd8beaec-a96b-48d8-b57f-1726ec943935,18f38fa4-d53d-4134-8f46-e0965bee1780,Multiply a binomial by a binomial using the distributive propertyCoReq,Multiply polynomials using the vertical methodCoReq
1ba5c514-9393-43c8-91dc-bc79d4db1096,cb8e9f61-663d-490a-984f-eaee8d53786e,Multiply integers - ML,Simplify expressions by distributing a negative number - ML
